,2016/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017/Annual,2017,,,2017,2017/Annual
Name,주당배당금/0D2007,주당배당금/0D2007,배당금/136300,현금배당금/136310,당좌비율/203220,매출채권회전율/194120,재고자산회전율1/194080,이익잉여금/118300,베타/280223,매출액증가율/091060,부채비율/193060,당기순이익/133000,유동비율/193020,매출액/121000,자기자본증가율/191050,매출액(종업원1인당)/195020,1대주주명(지분)/0A2211,종업원수/0A1060,기업규모/0A1070,KIS 신용평점/0A3010,기말시가총액합계(보통주+우선주)/0D1113
(주)동아지질,196.52,196.52,"2,260,000,000.","2,260,000,000.",170.67,3.47,107.33,"109,180,783,000.",.65,5.33,65.27,"14,139,556,000.",174.27,"339,724,245,000.",2.54,"970,640,700.0",이정우(30.53),367.,대기업,4,"134,550,000,000."
(주)나노엔텍,-,-,,,121.37,1.53,3.98,"-1,041,123,000.",.74,11.06,69.48,"-799,389,000.",156.30,"22,133,358,000.",-3.19,"232,982,720.0",SK텔레콤(주)(28.45),103.,대기업,6,"145,585,873,300."
(주)비씨월드제약,115.2,115.6,"844,985,000.","705,192,000.",140.42,2.49,3.71,"47,350,349,000.",.63,9.96,42.50,"8,082,649,000.",216.26,"50,207,424,000.",9.95,"183,238,770.0",홍성한(33.86),272.,중소기업,3,"163,729,596,800."
(주)에버다임,109.54,109.54,"1,962,588,000.","1,962,588,000.",107.9,4.10,3.37,"135,373,898,000.",.31,5.43,37.66,"12,724,620,000.",268.26,"315,435,868,000.",6.43,"742,202,040.0",(주)현대그린푸드(45.17),399.,대기업,3,"166,976,598,080."
신흥에스이씨(주),,-,"655,168,000.","655,168,000.",165.13,7.97,22.11,"41,370,592,000.",.5,20.18,69.02,"6,693,374,000.",181.24,"108,293,927,000.",48.69,"137,080,920.0",김기린(18.78),"1,613.",중소기업,5,"153,964,550,500."
(주)룽투코리아,-,-,,,325.36,4.91,,"-46,252,603,000.",.55,-15.61,20.38,"-20,163,479,000.",325.36,"39,011,730,000.",43.71,"812,744,380.0",LONGTUGAME HK LIMITED(38.58),50.,중소기업,5,"190,507,928,040."
(주)판타지오,-,-,,,957.54,7.71,298.52,"-45,782,382,000.",1.02,-44.89,5.94,"-8,580,580,000.",957.54,"7,532,640,000.",77.83,"171,196,360.0",골드파이낸스코리아(주)(50.07),49.,중소기업,6,"95,242,165,330."
(주)국보디자인,243.46,272.68,"2,045,101,000.","2,045,101,000.",211.01,8.58,,"83,684,804,000.",.14,37.0,67.74,"14,149,734,000.",211.01,"262,522,024,000.",17.56,"729,227,840.0",황창연(46.53),348.,대기업,3,"137,250,000,000."
(주)국순당,49.36,167.82,"2,997,001,000.","2,997,001,000.",614.56,6.55,5.70,"158,825,549,000.",.5,-12.19,8.91,"9,847,390,000.",709.77,"60,087,461,000.",4.67,"234,716,640.0",배중호(36.59),247.,중소기업,3,"101,435,166,720."
성우전자(주),100.,80.,"1,240,651,000.","1,240,651,000.",876.89,7.69,78.69,"60,944,880,000.",.46,-27.73,7.93,"1,882,078,000.",890.27,"65,709,109,000.",0.34,"415,880,440.0",조성면(31.81),119.,중소기업,3,"67,072,718,475."
(주)드래곤플라이,-,-,,,6.87,3.80,,"-8,686,583,000.",.72,-30.84,133.84,"-9,731,229,000.",6.87,"7,565,737,000.",-32.19,"59,107,320.0",박철우(22.72),58.,중소기업,9,"64,807,499,835."
(주)라이브플렉스,-,-,,,"1,085.6",13.76,89.52,"22,258,442,000.",.35,6.57,46.85,"1,218,923,000.","1,095.59","37,104,908,000.",2.24,"1,060,140,230.0",김병진(16.11),30.,중소기업,5,"85,740,345,620."
(주)듀오백,-,-,,,243.14,8.96,7.88,"22,141,037,000.",.91,19.76,15.24,"1,144,419,000.",332.39,"38,302,767,000.",3.93,"227,992,660.0",정관영(35.33),129.,중소기업,3,"24,893,523,200."
대보마그네틱(주),,,,,175.04,10.64,9.0,"4,721,560,000.",1.,133.43,57.94,"3,760,419,000.",233.0,"13,164,618,000.",193.63,"438,820,600.0",이준각(38.22),40.,중소기업,3,
(주)콤텍시스템,-,-,,,153.74,3.27,15.23,"14,317,817,000.",1.05,-14.06,95.77,"978,657,000.",176.59,"142,500,270,000.",2.24,"408,310,230.0",남석우(15.92),455.,대기업,6,"38,381,016,530."
(주)녹원씨엔아이,-,-,,,27.31,2.55,18.47,"-12,065,889,000.",.61,12.16,80.76,"-7,298,649,000.",27.68,"4,347,268,000.",321.63,"255,721,650.0",(주)모우(14.61),89.,중소기업,9,"89,717,314,560."
(주)케이피엠테크,-,-,,,242.14,2.81,10.19,"-27,965,995,000.",.6,30.81,52.96,"-3,371,261,000.",256.38,"29,986,004,000.",82.68,"475,968,320.0",(주)에버코어인베스트먼트홀딩스(18.35),63.,중소기업,6,"112,464,911,000."
대한뉴팜(주),48.89,-,,,95.88,3.03,10.41,"-15,032,875,000.",1.34,19.57,135.53,"-20,580,842,000.",121.88,"130,816,029,000.",-27.36,"403,753,180.0",이완진(34.89),328.,중소기업,6,"195,226,912,000."
(주)에이치알에스,30.,80.,"1,308,384,000.","1,308,384,000.",570.8,4.93,5.27,"61,533,919,000.",.4,17.09,27.51,"5,621,842,000.",736.26,"63,060,204,000.",6.85,"428,980,980.0",강성자(23.03),143.,중소기업,3,"69,671,448,000."
유아이엘(주),669.28,350.,"7,624,728,000.","7,624,728,000.",233.81,4.90,28.58,"84,976,807,000.",,-26.36,24.20,"1,345,472,000.",256.05,"183,466,914,000.",-6.72,"445,308,040.0",(주)유아이엘홀딩스(36.42),319.,대기업,4,"141,819,933,360."
우수AMS(주),29.97,29.97,"740,074,000.","740,074,000.",64.22,8.43,24.65,"26,452,050,000.",.82,-8.59,135.77,"2,508,540,000.",78.08,"180,312,608,000.",6.23,"662,914,000.0",전종인(20.00),286.,대기업,5,"60,130,627,805."
(주)바이넥스,-,-,,,110.88,3.40,7.75,"-16,832,464,000.",1.48,-3.58,27.96,"-11,041,402,000.",143.95,"78,026,380,000.",-8.34,"196,046,180.0",(주)바이넥스홀딩스(8.67),480.,중소기업,6,"338,131,238,400."
(주)아이에이,-,-,,,34.62,6.29,12.06,"-1,588,272,000.",.57,-22.19,67.43,"-1,885,065,000.",48.54,"43,547,754,000.",-2.89,"565,555,250.0",김동진(11.87),61.,중소기업,7,"159,509,176,500."
(주)이랜텍,80.,-,,,127.99,1.73,19.80,"87,585,322,000.",.72,-25.30,63.29,"-1,007,277,000.",140.37,"150,807,798,000.",-1.41,"521,826,290.0",이세용(24.22),279.,대기업,6,"91,742,362,880."
(주)코미팜,-,-,,,75.25,2.62,3.07,"1,524,926,000.",1.38,-5.38,46.78,"532,839,000.",108.44,"35,612,736,000.",11.99,"204,670,900.0",양용진(29.34),144.,중소기업,6,"2,106,827,862,750."
(주)에이텍,100.,100.,"826,000,000.","826,000,000.",122.5,21.09,13.40,"72,712,147,000.",.8,14.01,31.77,"12,910,367,000.",162.73,"106,326,664,000.",23.24,"713,601,770.0",신승영(29.06),142.,중소기업,3,"90,447,000,000."
하나제약(주),,,"3,005,398,000.","3,005,398,000.",120.99,3.80,7.47,"69,511,429,000.",.93,11.88,74.44,"24,309,659,000.",160.54,"139,331,266,000.",49.89,"271,600,910.0",조동훈 외 특수관계인(77.94),588.,대기업,4,
(주)이스트소프트,-,-,,,57.31,3.33,,"26,774,014,000.",.69,1.93,124.40,"-1,170,368,000.",57.31,"20,921,093,000.",-2.25,"128,350,260.0",김장중(24.95),185.,중소기업,7,"67,711,896,000."
(주)이오테크닉스,99.98,199.95,"2,455,555,000.","2,455,555,000.",219.02,2.79,5.08,"239,366,872,000.",1.37,31.96,25.23,"18,364,193,000.",308.86,"376,174,750,000.",5.57,"555,649,560.0",성규동(28.40),581.,대기업,3,"1,338,588,234,000."
(주)파마리서치프로덕트,297.95,295.99,"2,801,942,000.","2,801,942,000.","1,341.86",3.78,10.74,"56,994,032,000.",1.33,17.53,3.84,"12,955,558,000.","1,413.66","53,554,110,000.",4.20,"495,871,390.0",정상수(41.12),186.,중소기업,2,"557,560,181,300."
(주)유진로봇,-,-,,,266.7,4.21,4.34,"-4,966,206,000.",.76,-1.88,48.06,"-4,966,206,000.",316.92,"36,195,748,000.",237.21,"254,899,630.0",(유)시만(39.10),165.,중소기업,7,"135,570,516,760."
(주)하나투어,762.17,762.17,"8,853,546,000.","8,853,546,000.",89.84,7.51,30.10,"121,438,753,000.",.49,38.72,159.97,"26,251,793,000.",102.02,"535,154,599,000.",7.73,"203,713,210.0",국민연금공단(11.98),"2,522.",대기업,4,"1,196,467,055,000."
(주)에스지엔지,-,-,,,122.63,4.30,17.85,"56,987,947,000.",.81,13.68,28.42,"2,686,807,000.",137.13,"55,141,217,000.",2.56,"689,265,210.0",이의범(15.61),83.,대기업,5,"100,045,920,260."
와이더블유(주),85.19,81.56,"926,116,000.","926,116,000.",253.8,14.35,9.93,"59,890,188,000.",.32,-10.29,43.99,"2,635,172,000.",276.57,"26,435,740,000.",0.03,"1,762,382,670.0",우병일(23.30),19.,중소기업,5,"44,513,042,560."
(주)엘엠에스,135.17,128.32,"1,141,486,000.","1,141,486,000.",124.09,1.45,6.62,"83,464,315,000.",.55,-14.21,73.83,"-10,696,914,000.",143.34,"79,786,450,000.",-13.95,"250,114,260.0",나우주(22.74),281.,중소기업,7,"83,798,012,100."
(주)앤씨앤,-,-,,,544.18,19.24,4.41,"30,088,628,000.",1.39,-32.41,11.04,"-4,411,427,000.",722.27,"41,222,922,000.",-7.25,"324,589,940.0",김경수(22.29),77.,중소기업,5,"90,098,250,000."
(주)지에스홈쇼핑,"6,507.2","6,250.4","41,018,250,000.","41,018,250,000.",210.84,71.73,62.16,"967,275,352,000.",.35,-1.27,31.55,"97,005,394,000.",218.05,"1,051,657,668,000.",9.24,"1,044,347,240.0",(주)GS(36.10),"1,069.",대기업,2,"1,422,750,000,000."
한국맥널티(주),130.,50.,"248,750,000.","248,750,000.",193.89,8.43,10.54,"18,659,044,000.",.66,1.24,43.70,"1,262,760,000.",244.94,"32,906,558,000.",2.17,"223,854,140.0",이은정(35.18),152.,중소기업,4,"65,172,500,000."
(주)비지에프,800.,199.95,"6,451,143,000.","6,451,143,000.",920.81,1.99,0.14,"4,238,128,673,000.",.71,215.69,8.93,"3,507,920,571,000.",920.81,"5,639,326,000.",-24.22,"45,114,610.0",홍석조(62.53),119.,대기업,4,"492,021,714,750."
제이더블유생명과학(주),600.,"1,000.","7,917,277,000.","7,917,277,000.",55.,3.90,11.98,"28,226,982,000.",.6,7.31,100.0,"15,657,527,000.",69.22,"139,589,961,000.",12.43,"500,322,440.0",JW홀딩스(주)(50.00),277.,대기업,3,"333,317,361,700."
(주)케이엔엔,15.87,25.,"3,310,743,000.","3,310,743,000.",332.55,4.24,"2,546.19","107,726,698,000.",.35,3.09,9.12,"9,349,374,000.",332.65,"62,316,771,000.",3.90,"486,849,770.0",(주)넥센(39.32),133.,대기업,2,"135,078,314,400."
(주)백금티앤에이,-,-,,,169.9,4.50,136.26,"3,606,452,000.",.87,85.46,90.79,"463,386,000.",171.22,"68,146,269,000.",7.43,"1,548,778,840.0",임학규(25.64),57.,중소기업,7,"75,862,875,000."
