,2015/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016/Annual,2016,,,2016,2016/Annual
(주)아톤,,,,,207.5,8.58,22.71,"3,391,643,000.00",,28.9,70.58,"219,388,000.00",226.95,"16,435,059,000.00",9.01,,,75,중소기업,5,
(주)휴비스,286.18,286.18,"9,873,096,000.00","9,873,096,000.00",47.96,7.28,8.88,"170,218,150,000.00",0.7,-6.47,115.31,"10,702,744,000.00",80.7,"859,453,820,000.00",1.3,"813,106,740.00",(주)삼양홀딩스(25.50),880,대기업,5,"283,245,000,000.00"
(주)동원F&B,"2,500.00","2,500.00","9,647,810,000.00","9,647,810,000.00",62.23,11.71,6.87,"373,750,562,000.00",0.57,6.55,76.96,"33,286,637,000.00",127.76,"1,464,991,510,000.00",4.41,"586,231,100.00",(주)동원엔터프라이즈(71.25),"3,073.00",대기업,2,"764,106,552,000.00"
(주)필링크,-,-,,,156.48,3.73,292.87,"11,554,713,000.00",0.84,3.1,84.59,"405,619,000.00",156.48,"16,425,666,000.00",50.4,"124,436,860.00",(주)스톤브릿지유니온(10.95),80,중소기업,8,"144,505,350,000.00"
(주)인터로조,119.66,178.84,"1,927,160,000.00","1,927,160,000.00",305.84,2.63,5.87,"75,851,338,000.00",0.59,24.54,17.96,"19,623,035,000.00",387.48,"74,175,361,000.00",22.74,"149,849,210.00",노시철(28.91),537,중소기업,2,"409,488,000,000.00"
(주)엔텔스,-,-,,,216.35,5.8,149.56,"25,000,985,000.00",1.39,24.39,25.44,"809,251,000.00",219.82,"56,334,262,000.00",1.77,"246,001,140.00",심재희(19.43),244,중소기업,4,"93,139,564,500.00"
(주)웹젠,-,-,,,352.04,7.17,"12,727.29","122,650,696,000.00",1.07,-8.95,24.9,"44,270,806,000.00",352.1,"211,393,922,000.00",18.56,"664,760,760.00",김병관(26.72),572,대기업,4,"527,897,715,800.00"
(주)가비아,28.89,28.89,"391,060,000.00","391,060,000.00",119.42,20.66,,"38,636,839,000.00",0.84,2.03,34.68,"3,544,032,000.00",119.42,"49,430,564,000.00",6.93,"184,442,400.00",김홍국(18.30),274,중소기업,2,"79,048,394,560.00"
아미코젠(주),100,-,,,329.81,2.89,6.43,"27,987,559,000.00",1.5,10.9,10.76,"2,432,407,000.00",392.82,"23,692,485,000.00",2.29,"174,209,450.00",신용철(15.94),180,중소기업,3,"406,106,885,250.00"
자이에스앤디(주),,,"3,000,000,000.00","3,000,000,000.00",145.32,3.29,140.78,"11,836,882,000.00",0.65,0.19,218.3,"5,007,986,000.00",146.81,"92,840,184,000.00",8.89,"78,412,320.00",GS건설(주)(85.61),"2,940.00",대기업,5,
한국유나이티드제약(주),209.12,228.38,"3,701,437,000.00","3,701,437,000.00",221.26,4.04,6.64,"171,196,354,000.00",0.76,9.17,32.04,"19,513,765,000.00",291.11,"176,905,090,000.00",3.14,"218,671,310.00",강덕영(35.31),833,대기업,2,"299,835,457,000.00"
(주)세진중공업,100,100,"3,832,272,000.00","3,832,272,000.00",18.43,22.48,4.98,"126,804,974,000.00",1.04,-5.71,131.33,"15,449,693,000.00",68.28,"427,423,084,000.00",8.27,"1,323,291,280.00",윤종국(33.68),325,대기업,6,"119,758,500,000.00"
(주)아이마켓코리아,489.61,440.43,"15,830,606,000.00","15,830,606,000.00",132.94,3.99,44.74,"252,414,443,000.00",1.1,2.97,151.06,"22,864,910,000.00",140.56,"2,682,496,235,000.00",1.58,"5,419,184,310.00",(주)인터파크홀딩스(40.01),441,대기업,4,"373,810,736,000.00"
(주)오킨스전자,-,-,,,94.79,4.9,3.74,"5,937,501,000.00",1.06,-35.24,132.22,"-9,312,143,000.00",133.11,"23,335,685,000.00",-22.32,"152,520,820.00",전진국(20.14),119,중소기업,7,"34,162,000,000.00"
덕산하이메탈(주),-,-,,,794.02,8.58,8.8,"159,243,850,000.00",0.98,-16.72,4.55,"-17,548,454,000.00",888.95,"42,828,124,000.00",-8.92,"293,343,320.00",덕산홀딩스(주)(34.88),180,중소기업,5,"196,060,663,630.00"
씨제이프레시웨이(주),200,200,"2,374,317,000.00","2,374,317,000.00",75.77,6.26,12.93,"52,407,553,000.00",0.72,9.37,315.82,"-984,443,000.00",111.72,"1,742,311,879,000.00",-3.63,"556,293,700.00",CJ(주)(47.11),"7,022.00",대기업,6,"462,991,854,000.00"
효성아이티엑스(주),99.14,194.54,"2,426,823,000.00","2,426,823,000.00",74.88,9.38,77.51,"18,062,444,000.00",1.47,7.73,138.01,"6,281,753,000.00",82.28,"328,674,817,000.00",3.14,"43,533,090.00",조현준(35.26),"6,492.00",대기업,3,"135,230,940,000.00"
(주)이엠넷,47.13,20,"220,000,000.00","220,000,000.00",401.86,1.51,,"22,431,436,000.00",0.76,0.61,34.16,"882,225,000.00",401.86,"18,713,678,000.00",8.28,"72,815,870.00",김영원(33.06),319,중소기업,3,"61,270,000,000.00"
(주)머큐리,,,,,131.95,5.9,7.61,"-3,751,536,000.00",1.32,30.44,103.77,"2,013,669,000.00",203.61,"121,072,102,000.00",5.86,"691,840,580.00",(주)아이즈비전(100.0),194,대기업,5,
진양화학(주),100,75,"900,000,000.00","900,000,000.00",130.3,6.97,20.9,"19,586,451,000.00",0.34,-18.62,41.43,"1,312,360,000.00",158.58,"57,610,216,000.00",1.31,"423,604,530.00",(주)진양홀딩스(65.36),92,중소기업,3,"45,000,000,000.00"
(주)대우건설,-,-,,,81.98,3.05,10.2,"-368,482,877,000.00",1.38,11.52,365.13,"-762,005,959,000.00",96.19,"10,964,615,696,000.00",-26.69,"1,806,659,370.00",케이디비밸류제육호(유)(50.75),"5,395.00",대기업,8,"2,111,363,001,040.00"
(주)포스코인터내셔널,500,500,"56,938,146,000.00","56,938,146,000.00",100.18,4.55,45.49,"1,507,265,398,000.00",1.8,-8.67,205.22,"123,708,754,000.00",109.97,"15,417,229,613,000.00",2.71,"15,448,125,860.00",(주)포스코(60.30),"1,923.00",대기업,6,"3,074,659,857,000.00"
(주)상보,-,-,,,63.59,4.18,6.46,"-9,603,184,000.00",0.99,-32.93,144.44,"-20,208,851,000.00",83.78,"118,572,515,000.00",0.63,"391,328,430.00",김상근(20.78),166,중소기업,8,"100,581,809,835.00"
한솔시큐어(주),20,-,,,173.75,5.46,4.98,"2,034,427,000.00",0.56,-0.34,26.51,"-7,842,990,000.00",243.61,"16,337,872,000.00",-36.26,"272,297,870.00",한솔인티큐브(주)(32.47),52,중소기업,5,"38,661,283,980.00"
(주)뉴로스,-,-,,,121.44,1.33,2.49,"17,738,688,000.00",0.84,17.49,76.81,"2,193,913,000.00",166.25,"42,756,080,000.00",5.41,"307,597,700.00",김승우(17.77),136,중소기업,6,"67,908,648,225.00"
(주)나노신소재,149.99,99.7,"1,081,633,000.00","1,081,633,000.00",853.92,3.8,1.4,"35,074,679,000.00",1.51,-4.7,8.56,"5,955,088,000.00","1,643.40","41,111,800,000.00",5.02,"230,965,170.00",박장우(24.71),219,중소기업,2,"164,894,661,600.00"
(주)엔에스,100,100,"490,000,000.00","490,000,000.00",171.85,3.67,3.25,"11,999,803,000.00",1.64,-11.86,39.57,"1,922,487,000.00",284.92,"26,837,910,000.00",6.54,"339,720,380.00",이세용(38.75),112,중소기업,4,"50,225,000,000.00"
(주)유니온커뮤니티,-,-,,,268.48,2.79,6.41,"6,727,965,000.00",0.28,1.44,63.12,"5,329,694,000.00",334.56,"39,966,078,000.00",176.13,"363,327,980.00",신요식(20.68),120,중소기업,4,"50,495,784,080.00"
씨큐브(주),90.65,105.06,"796,261,000.00","796,261,000.00",108.09,5.16,2.23,"29,827,507,000.00",1.1,23.61,41.95,"4,859,788,000.00",240.92,"37,879,603,000.00",5.07,"244,384,540.00",장길완(19.78),169,중소기업,3,"65,634,832,800.00"
(주)이퓨쳐,-,-,,,407.95,1.76,3.51,"9,099,929,000.00",0.45,13.89,25.81,"188,200,000.00",530.63,"8,525,055,000.00",0.99,"189,445,670.00",이기현(23.79),48,중소기업,3,"36,246,300,000.00"
(주)에스앤에스텍,-,-,,,99.74,5.41,6.87,"27,972,614,000.00",1.32,5.47,60.99,"8,961,485,000.00",131.06,"54,012,868,000.00",14.58,"325,378,720.00",정수홍(21.91),195,중소기업,3,"158,869,414,550.00"
(주)서플러스글로벌,,,"988,330,000.00","988,330,000.00",43.63,89.98,1.69,"53,548,546,000.00",0.77,5.81,68.72,"14,040,591,000.00",244.49,"99,578,759,000.00",34.35,"2,489,468,980.00",김정웅(46.10),53,중소기업,4,
현대오토에버(주),,,"14,250,170,000.00","14,250,170,000.00",164.83,3.01,,"326,053,837,000.00",,0.13,104.4,"57,864,923,000.00",164.83,"1,140,285,370,000.00",15.21,"654,960,010.00",,"1,988.00",대기업,4,
메디포스트(주),-,-,,,"1,045.79",12.08,3.82,"-26,144,710,000.00",1.51,-18.34,33.11,"-9,442,914,000.00","1,250.36","28,654,162,000.00",-27.96,"149,240,430.00",양윤선(6.37),226,중소기업,5,"426,712,260,300.00"
에스엔유프리시젼(주),-,-,,,179.15,0.99,30.09,"-28,939,420,000.00",1.03,-17.38,49.65,"-18,144,133,000.00",182.92,"57,862,612,000.00",28.57,"220,009,930.00",(주)에스에프에이(31.02),138,중소기업,6,"162,500,000,000.00"
이트론(주),-,-,,,599.75,2.72,8.58,"-9,797,163,000.00",0.69,-6.39,14.75,"-9,797,163,000.00",635.37,"24,151,731,000.00",49.65,"455,693,040.00",(주)이아이디(8.85),42,중소기업,6,"68,080,646,436.00"
(주)홈캐스트,-,-,,,272.2,3.28,11.21,"43,699,462,000.00",0.55,24.64,26.48,"14,834,165,000.00",305.79,"122,054,084,000.00",17.03,"1,937,366,410.00",(주)에이치바이온(4.88),52,중소기업,4,"567,087,716,800.00"
(주)이엠따블유,-,-,,,99.32,4.36,4.2,"-3,077,913,000.00",1.04,15.09,118.9,"4,608,761,000.00",134.61,"53,682,510,000.00",6.81,"178,941,700.00",류병훈(17.44),260,중소기업,7,"80,544,730,610.00"
(주)케이티스카이라이프,348.11,412.76,"19,738,791,000.00","19,738,791,000.00",240.88,5.34,309.39,"268,482,154,000.00",1.04,-0.2,40.5,"65,937,774,000.00",241.9,"625,125,897,000.00",9.95,"1,953,518,430.00",(주)케이티(49.99),362,대기업,4,"827,320,011,800.00"
(주)뷰웍스,99.87,199.52,"1,995,548,000.00","1,995,548,000.00",413.94,5.46,6.4,"100,039,907,000.00",0.8,25.57,16.95,"26,733,726,000.00",547.77,"116,465,198,000.00",28.79,"487,302,080.00",김후식(14.56),284,중소기업,1,"598,111,527,000.00"
(주)에이비프로바이오,140,-,,,193.46,2.62,2.37,"54,733,849,000.00",1.15,-38.7,38.05,"2,439,688,000.00",248.31,"43,802,072,000.00",8.22,"438,020,720.00",(주)딜던쉐어즈(10.27),83,중소기업,5,"60,633,082,125.00"
지스마트글로벌(주),-,-,,,173.4,3.94,14.44,"24,722,458,000.00",0.9,91.29,31.78,"13,301,567,000.00",196.46,"90,159,753,000.00",36.12,"875,337,410.00",지스마트(주)(20.65),35,중소기업,4,"288,765,749,600.00"
(주)넥스턴,49.92,137.65,"1,630,645,000.00","1,630,645,000.00",980.84,12.08,10.02,"41,470,793,000.00",1.16,359.61,9.61,"17,172,998,000.00","1,066.53","74,373,034,000.00",199.23,"1,180,524,350.00",(주)대호테크(32.62),70,중소기업,3,"310,971,150,000.00"
(주)파수닷컴,49.63,-,,,268.62,1.71,,"-4,761,475,000.00",0.68,-14.02,183.64,"-13,077,338,000.00",268.62,"21,164,807,000.00",-50.49,"71,261,980.00",조규곤(25.56),198,중소기업,7,"50,077,574,250.00"
(주)LG화학,"4,475.57","4,972.86","368,055,000,000.00","368,055,000,000.00",159.61,5.99,9.95,"11,954,330,000,000.00",1.36,-0.4,24.48,"1,379,589,000,000.00",216.16,"17,264,845,000,000.00",8.29,"1,152,988,180.00",(주)LG(30.07),"20,125.00",대기업,2,"18,666,148,419,500.00"
(주)LG생활건강,"5,162.49","7,039.76","125,775,150,000.00","125,775,150,000.00",71.78,11.93,13.2,"1,759,569,535,000.00",0.8,20.77,64.72,"509,159,572,000.00",114.68,"3,660,952,827,000.00",28.33,"808,871,590.00",(주)LG(34.03),"4,512.00",대기업,3,"14,566,924,240,000.00"
메가스터디(주),590.45,688.85,"2,766,634,000.00","2,766,634,000.00",593.47,2.32,6.77,"450,255,360,000.00",0.41,125.1,7.65,"2,994,481,000.00",623.81,"31,400,547,000.00",1.5,"293,463,060.00",손주은(26.48),114,대기업,4,"135,148,192,150.00"
엘컴텍(주),-,49.98,"4,220,320,000.00","4,220,320,000.00",204.43,5.21,13.13,"8,230,233,000.00",0.7,12.66,9.74,"8,330,148,000.00",259.36,"64,586,304,000.00",13.3,"872,787,890.00",(주)파트론(57.57),49,대기업,3,"192,118,105,725.00"
(주)파인넥스,-,-,,,46.94,1.75,0.85,"-82,959,287,000.00",1.18,-55.97,259.52,"-64,065,165,000.00",59.42,"12,554,438,000.00",-80.29,"256,213,020.00",이희춘(17.59),13,중소기업,9,"38,890,681,230.00"
(주)모아텍,-,-,,,912.38,3.96,17.01,"77,351,671,000.00",0.45,-14.31,7.68,"3,035,378,000.00",952.99,"55,912,949,000.00",2.73,"564,777,260.00","MINEBEA CO.,LTD(50.85)",90,중소기업,3,"68,932,999,850.00"
(주)쎄미시스코,17.73,28.65,"154,733,000.00","154,733,000.00",225.33,2.66,4.64,"16,782,895,000.00",0.77,36.55,21.39,"1,439,625,000.00",290.17,"12,513,845,000.00",20.27,"245,369,510.00",이순종(33.62),103,중소기업,2,"56,700,000,000.00"
(주)픽셀플러스,97.61,89.66,"732,185,000.00","732,185,000.00","1,008.13",56.86,5.41,"99,853,117,000.00",1.17,-30.85,7.65,"-6,790,629,000.00","1,156.38","73,444,378,000.00",-14.53,"5,649,567,540.00",이서규(23.19),116,중소기업,4,"127,806,632,700.00"
(주)디엔에프,-,-,,,126.92,22.14,3.88,"38,207,094,000.00",1.03,-18.56,31.93,"10,436,018,000.00",266.02,"58,221,631,000.00",17.19,"279,911,690.00",김명운(18.27),218,중소기업,3,"176,493,979,200.00"
(주)토비스,197.63,154.82,"2,588,079,000.00","2,588,079,000.00",105.61,6.01,8.56,"113,321,608,000.00",0.62,-1.65,73.57,"17,428,686,000.00",161.36,"455,566,497,000.00",7.52,"1,859,455,090.00",김용범(8.53),289,대기업,5,"141,593,481,260.00"
(주)에프알텍,-,-,,,118.15,1.87,14.42,"32,679,746,000.00",0.98,-48.75,39.19,"-2,942,823,000.00",138.78,"21,926,802,000.00",-6.87,"240,953,870.00",남재국(36.12),56,중소기업,5,"33,744,000,000.00"
(주)미코,-,-,,,74.61,6.47,5.48,"-2,693,337,000.00",1.21,13.72,79.86,"-1,504,792,000.00",114.7,"49,599,720,000.00",3.03,"188,592,090.00",전선규(17.97),378,중소기업,7,"86,071,622,730.00"
(주)코디엠,-,-,,,88.36,4.77,6.34,"-471,701,000.00",2,-5.5,324.58,"-5,260,291,000.00",113.99,"44,087,609,000.00",27.26,"454,511,430.00",케이바이오투자조합(15.72),57,중소기업,9,"142,118,317,200.00"
(주)아이엠비씨,30,45,"1,035,000,000.00","1,035,000,000.00",207.37,7.29,,"32,853,108,000.00",0.76,3.73,27.47,"2,178,555,000.00",207.37,"60,344,209,000.00",1.85,"482,753,670.00",(주)문화방송(58.13),99,대기업,3,"87,860,000,000.00"
(주)이수앱지스,-,-,,,248.55,6.49,1.44,"-46,005,995,000.00",1.23,66.11,32.96,"-4,367,053,000.00",410.79,"19,054,717,000.00",-7.16,"174,813,920.00",(주)이수화학(35.59),161,대기업,6,"166,302,847,440.00"
(주)코스온,-,-,,,135.83,2.9,4.76,"10,616,949,000.00",1.21,24.82,59.07,"7,410,656,000.00",216.95,"77,287,333,000.00",19.94,"340,472,830.00",이동건(14.31),261,중소기업,6,"210,124,428,000.00"
(주)디엔에이링크,-,-,,,287,3.44,4.06,"-27,071,256,000.00",1.6,11.91,"2,478.80","-11,922,464,000.00",362.64,"10,403,732,000.00",-92.25,"150,778,720.00",이종은(20.98),70,중소기업,9,"42,882,127,680.00"
우리손에프앤지농업회사법인(주),,-,,,73.58,24.24,5.12,"35,680,127,000.00",0.62,118.83,30.78,"3,085,723,000.00",136.21,"75,729,688,000.00",43.58,"625,865,190.00",(주)이지바이오(43.71),130,대기업,5,"160,631,331,760.00"
현대글로비스(주),"3,000.00","3,000.00","112,500,000,000.00","112,500,000,000.00",103.93,8.94,17.15,"2,764,868,924,000.00",0.81,3.72,122.43,"409,148,874,000.00",134.49,"12,250,484,517,000.00",9.78,"11,046,424,270.00",정의선(23.29),"1,379.00",대기업,3,"5,793,750,000,000.00"
(주)디지캡,-,-,,,310.73,3.92,,"6,157,182,000.00",1.04,1.81,79.67,"755,948,000.00",310.73,"11,207,184,000.00",9.76,"121,817,220.00",신용태(22.62),105,중소기업,4,"10,564,496,350.00"
(주)바이오톡스텍,-,-,,,67.67,4.5,34.9,"-2,163,577,000.00",1.06,36.83,86.79,"830,001,000.00",71.08,"20,300,373,000.00",6.89,"113,409,910.00",강종구(14.12),204,중소기업,6,"81,470,869,950.00"
(주)위메이드,-,592.97,"9,961,928,000.00","9,961,928,000.00",585.72,2.02,,"169,747,497,000.00",1.35,-46.25,10.12,"-79,147,907,000.00",585.72,"55,618,719,000.00",-19.01,"617,985,770.00",박관호(46.77),59,대기업,4,"374,640,000,000.00"
크리스탈지노믹스(주),-,-,,,128.76,2.21,28.29,"-88,919,516,000.00",1.57,81.33,36.56,"-2,179,460,000.00",129.93,"11,126,480,000.00",15.61,"188,584,410.00",조중명(9.97),201,중소기업,6,"439,977,187,000.00"
(주)셀트리온제약,15,25,"791,228,000.00",,141.95,1.61,1.33,"31,956,942,000.00",1.31,39.94,48.32,"2,778,215,000.00",249.27,"101,569,415,000.00",45.83,"197,222,170.00",(주)셀트리온(55.29),638,대기업,6,"756,562,888,900.00"
(주)제로투세븐,-,-,,,79.42,7.88,3.75,"5,503,085,000.00",1.06,-20.26,187.61,"-8,495,404,000.00",220.07,"190,302,244,000.00",-19.23,"802,963,050.00",매일유업(주)(34.74),238,대기업,7,"123,514,500,000.00"
(주)에스모머티리얼즈,100,-,,,284.47,6.34,8.48,"8,372,066,000.00",0.77,-19.37,56.57,"-673,945,000.00",343.62,"18,302,905,000.00",-5.08,"181,216,880.00",(주)네패스(31.47),77,중소기업,5,"26,912,600,000.00"
호전실업(주),,,,,193.95,8.36,42.23,"83,370,281,000.00",0.85,0.7,61.84,"12,712,737,000.00",208.84,"291,153,294,000.00",33.21,"1,967,251,990.00",박진호(28.28),136,대기업,4,
(주)엘앤에프,19.72,41.94,"972,286,000.00","972,286,000.00",64.88,12.39,5.92,"8,847,476,000.00",0.89,85.22,93.56,"5,659,662,000.00",157.29,"218,851,706,000.00",81.05,"539,043,610.00",(주)새로닉스(17.39),590,대기업,7,"346,607,228,500.00"
(주)큐에스아이,49.82,-,,,856.64,4.5,4.11,"31,592,571,000.00",1.21,-13.63,5.78,"1,213,277,000.00","1,057.86","22,020,600,000.00",1.18,"174,766,670.00",(주)삼화양행(29.82),113,중소기업,2,"73,510,682,400.00"
유앤아이(주),-,-,,,968.01,1.4,1.92,"6,274,872,000.00",1.2,21.64,11.19,"1,808,837,000.00","1,178.74","17,754,583,000.00",0.15,"162,886,080.00",구자교(19.78),131,중소기업,4,"111,709,691,100.00"
(주)이루온,-,-,,,114.71,3.05,745.59,"-7,856,814,000.00",1.14,-9.17,86.07,"-2,879,597,000.00",114.71,"20,412,457,000.00",61.25,"152,331,770.00",이승구(21.03),75,중소기업,7,"46,436,060,800.00"
(주)안트로젠,,-,,,"4,030.16",3.78,13.21,"-5,552,913,000.00",2.26,38.61,4.13,"371,660,000.00","4,098.19","4,896,068,000.00",104.48,"157,937,680.00",부광약품(주)(21.40),48,중소기업,4,"176,883,409,500.00"
(주)이상네트웍스,-,48.99,"440,952,000.00","440,952,000.00",280.11,4.27,5.45,"36,191,616,000.00",1.03,1.96,9.67,"4,026,443,000.00",367.94,"32,617,067,000.00",6.36,"418,167,530.00",(주)황금에스티(24.87),51,중소기업,2,"71,730,000,000.00"
(주)옵티팜,,,,,89.69,13.72,15.06,"-11,601,119,000.00",0.71,25.83,52.41,"-347,965,000.00",104.49,"14,375,777,000.00",214.3,"217,814,800.00",기타(41.39),64,중소기업,6,
(주)아이에스이커머스,-,-,,,161.88,4.09,10.61,"-14,241,382,000.00",1,36.08,46.31,"1,846,248,000.00",175.68,"24,598,502,000.00",4.91,"332,412,190.00",(주)아이에스이네트워크(29.47),64,중소기업,6,"112,772,291,060.00"
(주)아이컴포넌트,99.27,-,,,115.29,9.19,8.72,"10,807,217,000.00",1.38,-6.35,68.53,"5,654,928,000.00",137.03,"53,616,520,000.00",25.11,"446,804,330.00",김양국(23.09),79,중소기업,4,"97,931,411,000.00"
(주)슈프리마에이치큐,-,-,,,778.55,3.31,5.48,"95,426,856,000.00",1.27,7.37,5.32,"2,303,016,000.00",904.85,"26,724,206,000.00",47.27,"381,774,370.00",이재원(31.58),30,중소기업,3,"88,487,048,000.00"
코위버(주),95.4,66.78,"654,252,000.00","654,252,000.00",249.48,2.88,4.8,"66,285,294,000.00",0.57,-2.16,29.25,"6,305,360,000.00",327.97,"58,702,718,000.00",7,"448,112,350.00",황인환(16.82),151,중소기업,3,"56,821,440,000.00"
아이쓰리시스템(주),400,445.66,"1,503,837,000.00","1,503,837,000.00",157.08,6.73,3.29,"28,110,877,000.00",0.96,31.11,37.97,"7,351,974,000.00",276.85,"51,110,409,000.00",8.93,"175,035,650.00",정한(38.49),304,중소기업,4,"140,543,760,000.00"
(주)웨이브일렉트로닉스,-,-,,,47.31,2.8,6.13,"-10,392,054,000.00",1.49,13.37,102.68,"-4,664,189,000.00",63.61,"29,470,209,000.00",14.77,"207,536,680.00",박천석(18.76),129,중소기업,7,"210,300,825,000.00"
(주)나스미디어,360,390,"3,414,329,000.00","3,414,329,000.00",138.17,0.63,,"50,354,341,000.00",1.15,35.74,95.74,"11,499,887,000.00",138.17,"61,749,724,000.00",41.27,"226,189,470.00",(주)케이티(42.75),352,대기업,4,"345,810,294,500.00"
이엘케이(주),-,-,,,48.55,5.39,5.79,"-107,206,033,000.00",0.84,-20.73,566.29,"-78,844,544,000.00",63.56,"174,795,155,000.00",-69.54,"517,145,430.00",신동혁(9.54),101,대기업,10,"45,746,402,250.00"
영화테크(주),,,"295,998,000.00","295,998,000.00",182.87,4.47,12.77,"26,071,171,000.00",0.64,16.87,49,"5,291,900,000.00",211.4,"52,170,362,000.00",35.57,"260,851,810.00",엄준형(52.53),115,중소기업,3,
(주)에스에너지,92.42,101.49,"1,180,531,000.00","1,180,531,000.00",88.91,2.8,19.13,"50,245,657,000.00",0.79,-6.07,199.84,"2,839,990,000.00",94.21,"281,101,337,000.00",5.99,"1,683,241,540.00",홍성민(18.49),157,대기업,6,"90,614,830,210.00"
(주)캔서롭,-,-,,,"3,233.31",7.14,11.82,"-1,782,743,000.00",0.99,-5.38,2.22,"-479,523,000.00","3,301.30","5,097,702,000.00",34.76,"89,433,370.00",(주)마크로젠(26.78),66,중소기업,5,"108,445,160,950.00"
(주)파이오링크,-,-,,,605.58,4.14,6.53,"8,316,792,000.00",0.38,34.89,27.71,"-2,875,858,000.00",669,"28,675,652,000.00",-11.11,"162,009,330.00",엔에이치엔엔터테인먼트(주)(28.97),271,중소기업,4,"51,902,418,100.00"
(주)현대홈쇼핑,"1,480.47","1,474.34","17,692,125,000.00","17,692,125,000.00",224.98,32.32,41.52,"1,010,422,679,000.00",0.06,7.92,31.59,"103,384,394,000.00",230.74,"961,339,683,000.00",5.88,"1,770,422,990.00",(주)현대백화점(15.80),976,대기업,3,"1,338,000,000,000.00"
(주)동국에스엔씨,97.53,117.04,"6,688,047,000.00","6,688,047,000.00",221.59,7.01,4.56,"75,461,790,000.00",1.24,-1.6,19.92,"19,194,152,000.00",349.72,"207,195,857,000.00",5.71,"1,954,677,900.00",동국산업(주)(49.99),101,대기업,2,"324,000,810,000.00"
(주)우리넷,150,120,"763,885,000.00","763,885,000.00",255.3,3.46,5.31,"37,256,661,000.00",1.27,-12.53,36.31,"2,719,190,000.00",323.69,"43,401,496,000.00",3.83,"384,084,040.00",엘앤에스아이씨티밸류업1호사모(45.31),137,중소기업,4,"39,467,402,000.00"
(주)멜파스,-,-,,,73.66,7.97,3.14,"6,106,279,000.00",0.87,-42.07,60.67,"1,341,999,000.00",138.54,"83,326,596,000.00",24.41,"455,336,590.00",강서연창규곡투자유한공사(15.43),49,중소기업,7,"154,326,916,260.00"
(주)아이티엑스엠투엠,-,-,,,70.12,4.49,4.43,"-12,716,452,000.00",0.9,-30.92,78.31,"-6,938,378,000.00",121.85,"24,517,261,000.00",-32.16,"216,966,910.00",박상열(17.61),121,중소기업,8,"28,367,899,830.00"
(주)케이아이엔엑스,97.29,116.75,"569,759,000.00","569,759,000.00",730.77,8.92,,"36,782,644,000.00",0.65,10.39,8.45,"4,869,597,000.00",730.77,"38,443,271,000.00",9.78,"400,450,740.00",(주)가비아(36.30),120,중소기업,2,"68,076,000,000.00"
(주)케이지모빌리언스,143.43,191.23,"3,960,728,000.00","3,960,728,000.00",246.02,3.83,515.56,"84,369,984,000.00",1.13,-20.94,157.98,"10,806,007,000.00",246.44,"136,685,112,000.00",5.65,"763,603,980.00",(주)케이지이니시스(47.15),142,대기업,5,"190,752,187,410.00"
유비벨록스(주),-,-,,,105.53,6.55,6.63,"33,166,821,000.00",1.33,8.35,42.04,"2,256,720,000.00",144.26,"80,168,077,000.00",14.58,"324,567,110.00",이흥복(19.55),273,중소기업,5,"75,782,173,050.00"
(주)플랜티넷,137.5,137.5,"1,232,041,000.00","1,232,041,000.00",551.43,5.25,134.01,"42,756,405,000.00",0.68,32.53,6.23,"2,066,619,000.00",558.33,"17,365,420,000.00",1.29,"201,923,490.00",김태주(22.46),63,중소기업,3,"62,003,200,000.00"
(주)세아홀딩스,"1,749.61","1,749.61","6,998,425,000.00","6,998,425,000.00",3.3,"17,302.76",,"654,613,073,000.00",0.81,-3.1,14.67,"29,910,437,000.00",3.3,"43,205,001,000.00",2.28,"815,188,700.00",이태성(35.12),61,대기업,5,"516,000,000,000.00"
(주)씨에스에이코스믹,-,-,,,255.01,4.47,11.98,"-17,416,957,000.00",0.9,72.46,32.92,"-5,102,487,000.00",294.33,"34,487,398,000.00",34.26,"173,303,510.00",(주)초초스팩토리(12.62),101,중소기업,6,"74,996,099,035.00"
(주)인콘,-,-,,,775.89,6.06,10.84,"25,554,507,000.00",1.3,0.15,9.33,"-881,216,000.00",845.62,"36,120,175,000.00",-1.77,"284,410,830.00",방준혁(35.56),119,중소기업,4,"79,296,301,200.00"
(주)디지탈옵틱,-,-,,,39.42,4.84,6.17,"-36,593,369,000.00",1.71,-19.43,74.19,"-53,658,104,000.00",61.21,"52,251,867,000.00",-31.47,"190,700,240.00",계신국제그룹(9.93),165,중소기업,7,"74,738,736,840.00"
(주)CMG제약,-,-,,,792.17,2.18,5.56,"-60,758,745,000.00",1.51,21.92,10.4,"788,765,000.00",862.15,"32,969,825,000.00",102.45,"206,061,410.00",(주)차바이오텍(26.02),246,중소기업,4,"345,689,035,920.00"
아이진(주),-,-,,,"1,135.38",259.83,,"-30,025,527,000.00",2.33,148.45,14.65,"-8,269,838,000.00","1,135.38","267,235,000.00",-28.9,"4,858,820.00",유원일(9.69),60,중소기업,6,"112,916,250,000.00"
